Phylum,Class,Order,Family,Genus,Species,OTU,DGN16SuooMAaA_1_112,DGN16SuooMAaA_1_113,DGN16SuooMAaA_1_115,DGN16SuooMAaA_1_116,DGN16SuooMAaA_2_113,DGN16SuooMAaA_2_115,DGN16SuooMAaA_2_116,DGN16SuooMAaA_3_115,DGN16SuooMAaA_3_120,DGN16SuooMAaA_4_112,DGN16SuooMAaA_4_115,DGN16SuooMAaA_5_116,DGN16SuooMAaA_7_113,DGN16SuooMAaA_7_115,DGN16SuooMAaA_8_115,DGN16SuooMAaA_9_112,DGN16SuooMAaA_9_116,Rego006,Rego010,Rego015,Rego016,Rego019,Rego020,Rego023,Rego025,Rego030,Rego032,Rego035,Rego041,Rego042,Rego045,Rego046,Rego049,Rego054,Rego061,Rego063,Rego064,Rego069,Rego071,Rego083,WHYD20082037_A,WHYD20082062_A
Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Ruminococcus_torques_group,unclassified_g__Ruminococcus_torques_group,OTU4711,4,0,1,8,0,0,11,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Roseburia,unclassified_g__Roseburia,OTU4177,0,0,0,0,0,45,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,34,0,39,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,33,0,0
Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,Subdoligranulum,uncultured_bacterium_g__Subdoligranulum,OTU1596,28,1,0,13,1,4,31,29,1,0,8,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Veillonellaceae,Veillonella,unclassified_g__Veillonella,OTU3695,0,4,0,0,1,0,0,0,2,2,0,6,2,1,1,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8
Firmicutes,Bacilli,Lactobacillales,P5D1-392,norank_f__P5D1-392,Granulicatella_sp._BB-11,OTU5600,11,132,142,224,79,34,64,22,103,74,25,102,66,13,90,73,60,67,146,83,39,24,87,68,120,249,52,136,53,98,87,469,41,34,49,135,95,148,32,123,72,53
Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Selenomonadaceae,Selenomonas,Selenomonas_sputigena,OTU562,126,13,5,2,21,199,53,13,62,8,121,20,14,18,9,6,19,33,28,9,25,139,64,48,27,1,50,23,0,4,127,2,1,5,92,28,3,4,50,16,8,8
Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Oribacterium,Porphyromonas_sp._oral_taxon_278_str._W7784_g__Oribacterium,OTU1030,0,0,2,2,0,9,0,0,0,2,0,7,1,7,1,1,0,0,0,0,0,4,0,2,3,0,2,0,2,0,0,0,0,2,1,3,0,1,0,9,0,0
Firmicutes,Negativicutes,Veillonellales-Selenomonadales,unclassified_o__Veillonellales-Selenomonadales,unclassified_o__Veillonellales-Selenomonadales,unclassified_o__Veillonellales-Selenomonadales,OTU596,4,4,0,1,1,11,7,0,1,1,7,1,2,0,1,3,1,1,6,0,0,8,3,8,6,0,2,0,0,0,18,1,3,5,1,3,0,0,4,1,1,0
Firmicutes,unclassified_p__Firmicutes,unclassified_p__Firmicutes,unclassified_p__Firmicutes,unclassified_p__Firmicutes,unclassified_p__Firmicutes,OTU3489,1,6,1,0,0,0,1,0,1,0,1,6,1,0,1,1,0,0,4,7,5,29,4,35,3,2,22,10,3,2,22,0,11,16,10,15,23,1,11,1,1,1
Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus_mucosae_LM1,OTU2835,0,0,0,6,8,1,0,0,0,1,42,0,0,0,0,0,0,0,13,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,2,0,19,0,0,0,0,0
Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,norank_o__Peptostreptococcales-Tissierellales,W5053,Peptostreptococcaceae_bacterium_oral_taxon_113_str._W5053,OTU3573,0,0,0,0,0,0,0,0,0,2,0,4,0,0,68,0,1,1,0,0,10,0,29,0,8,0,29,0,0,0,2,0,0,0,1,0,0,0,0,2,0,3
Firmicutes,unclassified_p__Firmicutes,unclassified_p__Firmicutes,unclassified_p__Firmicutes,unclassified_p__Firmicutes,unclassified_p__Firmicutes,OTU3824,1,11,9,9,4,1,5,1,9,7,6,17,12,2,13,6,2,5,23,11,7,3,16,7,0,9,7,7,9,23,5,32,43,2,6,8,15,8,1,14,2,1
Firmicutes,Clostridia,Clostridia_UCG-014,norank_o__Clostridia_UCG-014,norank_f__norank_o__Clostridia_UCG-014,Clostridiales_bacterium_oral_taxon_075,OTU3449,0,0,54,173,613,70,0,17,0,59,113,229,52,76,28,33,163,193,199,70,14,186,139,2,28,113,435,111,3,0,31,21,0,387,32,73,57,57,165,145,4,43
Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Oribacterium,unclassified_g__Oribacterium,OTU303,0,1,0,1,0,4,2,0,1,0,6,6,5,1,0,9,0,0,2,9,1,1,1,0,1,1,0,1,0,0,0,3,0,4,3,2,3,0,75,0,0,1
Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Stomatobaculum,uncultured_bacterium_g__Stomatobaculum,OTU4637,14,16,7,0,3,14,5,1,1,14,31,20,7,3,10,10,3,0,19,14,7,0,10,0,0,0,0,9,0,12,39,12,0,3,0,16,34,3,0,6,16,23
Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Veillonellaceae,Veillonella,unclassified_g__Veillonella,OTU4159,62,40,5,4,21,22,119,6,12,5,8,14,9,9,3,42,77,4,20,11,6,7,1,31,18,3,8,6,0,8,56,23,157,14,16,5,19,5,2,11,89,40
Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus_cristatus,OTU3687,173,380,443,1071,566,625,351,259,432,298,520,661,506,1040,1859,666,421,543,817,496,432,626,856,633,604,923,661,495,382,636,400,537,585,536,328,653,1025,392,91,865,2043,2247
Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Veillonellaceae,Veillonella,unclassified_g__Veillonella,OTU6153,1,3,0,0,1,1,1,1,0,2,1,3,19,3,7,10,1,0,0,1,1,2,5,0,0,0,1,0,0,0,2,2,0,0,3,0,1,6,5,2,2,2
Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Eubacterium_hallii_group,unclassified_g__Eubacterium_hallii_group,OTU1356,5,0,0,4,0,0,14,15,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Veillonellaceae,Dialister,Dialister_sp._Marseille-P5638,OTU642,43,12,0,9,0,1,4,146,0,0,3,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0
Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,unclassified_g__Lactobacillus,OTU5684,12,0,15,2,0,0,0,0,1,0,36,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,9,0,0,3,0,0,15,0,9,15,0,0
Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Veillonellaceae,Veillonella,unclassified_g__Veillonella,OTU5574,3,42,39,5,60,45,6,7,29,7,25,17,64,6,3,25,34,12,26,36,6,12,5,32,8,12,7,14,131,70,3,29,2,42,3,24,62,13,7,9,7,8
Firmicutes,Negativicutes,Veillonellales-Selenomonadales,unclassified_o__Veillonellales-Selenomonadales,unclassified_o__Veillonellales-Selenomonadales,unclassified_o__Veillonellales-Selenomonadales,OTU4116,2,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,10,0,0,0,0,0,0,11,0,0,8,0,1,1,0,0,0,0,0
Firmicutes,Bacilli,Izemoplasmatales,norank_o__Izemoplasmatales,norank_f__norank_o__Izemoplasmatales,uncultured_bacterium_g__norank_f__norank_o__Izemoplasmatales,OTU2836,0,0,0,0,1,28,0,2,0,1,0,4,0,0,1,0,0,25,0,0,2,23,0,0,0,1,4,0,0,0,0,1,0,0,11,0,0,1,0,10,1,0
Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Dorea,Dorea_formicigenerans_ATCC_27755,OTU4984,7,3,0,6,1,0,2,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Eubacterium_eligens_group,uncultured_bacterium_g__Eubacterium_eligens_group,OTU1511,91,4,0,6,3,2,8,70,0,0,8,0,4,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Veillonellaceae,Veillonella,uncultured_methanogenic_archaeon_g__Veillonella,OTU3609,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,200,0,0,0,6,0,0,0,0,0,0,0,0,25,0,0,0,0,0
Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus_amylovorus,OTU869,557,25,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,26,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0
Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Veillonellaceae,unclassified_f__Veillonellaceae,unclassified_f__Veillonellaceae,OTU5509,0,0,0,0,1,2,0,0,1,0,5,10,0,1,1,0,0,0,0,0,0,3,0,1,0,0,4,0,0,0,0,0,0,5,1,0,0,0,7,1,1,1
Firmicutes,Bacilli,Staphylococcales,Gemellaceae,Gemella,unclassified_g__Gemella,OTU5676,0,2,1,1,0,0,0,5,0,0,0,1,0,1,3,1,8,0,1,5,4,0,1,0,8,0,1,1,0,1,0,3,3,0,5,2,1,0,0,8,1,1
Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Veillonellaceae,unclassified_f__Veillonellaceae,unclassified_f__Veillonellaceae,OTU2857,12,12,1,5,33,27,8,0,35,3,34,83,42,5,7,1,5,0,16,0,0,8,7,2,4,1,4,5,2,2,5,3,4,14,19,7,5,2,18,3,12,9
Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Peptostreptococcaceae,Peptostreptococcus,uncultured_organism_g__Peptostreptococcus,OTU3448,27,34,123,11,12,20,9,8,127,61,51,12,26,28,47,18,20,61,53,51,22,221,64,30,55,7,32,36,1,20,19,12,1,19,77,19,21,17,14,73,21,44
Firmicutes,Clostridia,Lachnospirales,Defluviitaleaceae,Defluviitaleaceae_UCG-011,Lachnospiraceae_bacterium_oral_taxon_500,OTU4176,0,4,3,2,1,8,0,15,0,59,0,8,2,27,7,0,6,116,1,22,25,114,13,35,129,2,73,22,0,13,7,5,0,5,53,3,0,0,0,35,50,88
Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Selenomonadaceae,Selenomonas,unclassified_g__Selenomonas,OTU3557,3,1,0,2,2,16,5,0,7,1,6,1,1,4,2,0,0,4,13,4,5,20,22,6,12,0,10,6,0,0,29,6,5,0,3,5,0,1,2,4,1,3
Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Erysipelotrichaceae_UCG-006,uncultured_bacterium_g__Erysipelotrichaceae_UCG-006,OTU4294,0,1,9,0,4,11,1,0,1,4,48,3,0,30,7,2,2,1,7,1,4,9,7,0,2,0,0,1,0,0,8,1,0,1,2,1,2,1,1,10,1,1
